title,label,flag
"[TRACKER+VIDEO] What am I doing wrong?",Improvement_Seeking,
"Anyone else annoyed that the game mode defaults back to Unrated every time?",Salt_Vent,
"Constant de-rank since Gold 3, should I uninstall?",Improvement_Seeking,
"Play ranked for fun but too many smurfs (iron)",Salt_Vent,
"Do I really need to change my sens?",Improvement_Seeking,
"Ranking up and improving",Improvement_Seeking,
"110gr mice, should I switch to superlight 2",Improvement_Seeking,
"Add Chamber Headhunter to Deathmatch!",Tactical_Analysis,
"Killjoy Balance Consideration",Tactical_Analysis,
"Any tips for positioning, aim and sensitivity as a Controller main in Valorant? (casual player)",Improvement_Seeking,
"Just to air frustrations, look at my W/L gains and losses. These past 2-3 acts have been incredibly annoying to climb.",Salt_Vent,
"valorant equivalent for Faceit?",Improvement_Seeking,
"Sensitivity help needed please?",Improvement_Seeking,
"hi im new. any tips would be greatly appreciated :)",Improvement_Seeking,
"How do I become better at short distance duels?",Improvement_Seeking,
"Just wondering, does vanguard ever flag background apps that aren't related to the game?",Improvement_Seeking,review:anti-cheat-OOS
"I have come to hate Valorant",Salt_Vent,
"VALORANT is not fun anymore",Salt_Vent,
"What do I even do here",Salt_Vent,
"Explain Bandit to me",Tactical_Analysis,
"Which Vandal/Phantom skin that makes it feel like the other? A Phandal or Vantom so to speak.",Tactical_Analysis,
"The Bandit now that's it's been out for almost 6months",Tactical_Analysis,
"How do I improve ? Been playing for a month",Improvement_Seeking,
"What are your rapid trigger settings",Improvement_Seeking,
"How does Valorant moderate voice chat?",Salt_Vent,
"why is this guy even in my lobby",Salt_Vent,
"How do i improve in valorant? suggestions and help needed",Improvement_Seeking,
"How do I get out of bronze?",Improvement_Seeking,
"I rawogged Compe and im slowly reaching Plat",Tactical_Analysis,
"Improvement at core mechanics",Improvement_Seeking,
"New to Valorant",Improvement_Seeking,
"Platinum in Skirmish but Iron in comp?",Improvement_Seeking,
"Is this really a bad smoke as a defender?",Tactical_Analysis,
"How to deal with large util dumps?",Improvement_Seeking,
"FINALLY reached gold",Improvement_Seeking,
"Skill translation between sheriff and vandal?",Tactical_Analysis,
"Summit is interesting",Tactical_Analysis,
"What are your early thoughts on the new map SUMMIT?",Tactical_Analysis,
"Summit looks like the heaviest retake map, especially towards A",Tactical_Analysis,
"How can I fix my mental game? I often tilt and play worse.",Improvement_Seeking,
"We need a re-evaluation of how to calculate ACS and RR gain/ loss",Tactical_Analysis,
"No Premier match found?",Salt_Vent,review:premier-bug-OOS
"How to aim as a beginner after download?",Improvement_Seeking,
"Why are my lobbies so bad?",Salt_Vent,
"Ascent is too defender sided?",Tactical_Analysis,
"how do you check corners and not die in the process?",Improvement_Seeking,
"What helped you get way more confident?",Improvement_Seeking,
"Matching is... awful",Salt_Vent,
"Valorant is a better version of Counter-Strike",Tactical_Analysis,
"new player seeking for guidance",Improvement_Seeking,
"If Miks was redone, how would you see him to be",Tactical_Analysis,
"100h stuck in gold 3",Improvement_Seeking,
"The current map pool made me hate playing valorant",Salt_Vent,
"Valorant Ping Improvment",Tactical_Analysis,review:self-promo-OOS
"new map door tech",Tactical_Analysis,review:low-content
"New agent tease?",Tactical_Analysis,review:speculation
"Never received gun buddy?",Improvement_Seeking,review:rewards-OOS
"There is a strange circle around clove when she is running on Lotus map",Improvement_Seeking,review:bug-OOS
"Looking to Replace my Current Headset",Improvement_Seeking,review:hardware-OOS
"Searching for coaching",Improvement_Seeking,
"I hit imm last act but didnt get the imm buddy?",Improvement_Seeking,review:rewards-OOS
"Trace Esports and Xlele part ways",Tactical_Analysis,review:esports-news-OOS
"I didn't get my Immortal buddy?",Improvement_Seeking,review:rewards-OOS
"How much should we expect the Matchday Bundle to be?",Improvement_Seeking,review:store-OOS
"vietnamese agent concept (female)",Tactical_Analysis,review:fan-concept-OOS
"Matchmaking system",Salt_Vent,
"When will the next night market happen?",Improvement_Seeking,review:store-OOS
"Why does prime vandal get hated on",Tactical_Analysis,review:skins
"Follow up from my last post, What can I do differently than other players learning the game for the first time?",Improvement_Seeking,
"Why am i so inconsistent",Improvement_Seeking,
"Why is there no new agent or a Sage rework",Tactical_Analysis,review:lore
"v26 buddy",Improvement_Seeking,review:rewards-OOS
"Whats are my best skins for each gun? (also is this excessive?)",Improvement_Seeking,review:skins-OOS
"Help improve or coach sites?",Improvement_Seeking,
"When do we get our Act Rank Buddy?",Improvement_Seeking,review:rewards-OOS
"When do we get rank buddies?",Improvement_Seeking,review:rewards-OOS
"13.00 Lore Audio and Emails - The Protocol arrives at Yue Yuan Men, Sage reunites with an old friend",Tactical_Analysis,review:lore-news-OOS
"Sunset Is Broken on Comp",Salt_Vent,review:bug-OOS
"Minimap and abilites doesn't work in new update.",Salt_Vent,review:bug-OOS
"Stuck Iron 3",Improvement_Seeking,
"Feeling bored of Valorant",Salt_Vent,
"How does duelist land their abilities, like Jett smoke and Neon stun, when entry is smoked?",Improvement_Seeking,
"rank gun buddy",Improvement_Seeking,review:rewards-OOS
"Best position for your monitor in your opinion?",Improvement_Seeking,review:setup
"Hard stuck",Improvement_Seeking,
"How hard is valorant comp",Improvement_Seeking,
"What is Reyna's gaming chair?",Improvement_Seeking,review:gear-OOS
"What do you think were the hardest Episodes to reach a higher rank?",Tactical_Analysis,review:meta-discussion
"Is VALORANT's lore still worth getting excited about at this point?",Tactical_Analysis,review:lore
"Any rank experts know what rank i might get placed in?",Improvement_Seeking,review:rank-mechanics
"Are people generally nicer in swift or in spike rush?",Improvement_Seeking,
"Amazing mix & match Astra nails by @artificialsparks.nails at Masters London",Tactical_Analysis,review:fan-content-OOS
"Iron, Bronze, Silver Players - Let Me Coach You",Tactical_Analysis,review:LFG-offer-OOS
"How can i improve my crossair position?",Improvement_Seeking,
"I made a 3D printed Ascent map + poster, what do you guys think?",Tactical_Analysis,review:fan-content-OOS
"If Killjoy becomes Meta, Veto is the perfect counter.",Tactical_Analysis,
"Retake should be 3v4",Tactical_Analysis,
"Need help picking a main",Improvement_Seeking,
"why is bronze is prison?",Salt_Vent,
"VALORANT 13.00 Bug Megathread",Tactical_Analysis,review:mod-post-OOS
"New Valorant Redeem Codes: Free Player Cards, Sprays, & Titles!",Tactical_Analysis,review:codes-OOS
"VALORANT // Patch Notes 13.00",Tactical_Analysis,review:news-OOS
"Aim Trainer Sens vs Valorant Sens",Improvement_Seeking,review:low-content
"Where's my chamber buff bro??",Tactical_Analysis,
"Diamond needs a hard reset and here's why",Tactical_Analysis,
"Feeling burnt out in comp",Salt_Vent,
"I just cant understand other people's behavior",Salt_Vent,
"Champions in Shanghai 2026",Improvement_Seeking,review:social-OOS
"i went to masters london as veto,it was a blast !",Tactical_Analysis,review:fan-content-OOS
"Sensitivity Confusion",Improvement_Seeking,
"Send help which agent do I get?",Improvement_Seeking,
"Do you guys think we are getting character skins in the future?",Tactical_Analysis,review:skins-speculation-OOS
"Whats your special trick when you're having low performance mid-game?",Improvement_Seeking,
"Valorant's Rank distribution, Top%, High Elo",Tactical_Analysis,
"Why does sage just cure Reyna's sister",Tactical_Analysis,review:lore
"Looking for advice as a returnee",Improvement_Seeking,
"Valorant rank distribution is kind of wild when you actually look at it",Tactical_Analysis,
"female chamber cosplay by me... how'd i do?",Tactical_Analysis,review:cosplay-OOS
"Kj until being destroyed",Improvement_Seeking,
"KJ Buffs",Improvement_Seeking,
"Sensitivity help",Improvement_Seeking,
"Sage new look",Tactical_Analysis,review:lore-discussion-OOS
"Just hit radiant on the last day after5 years AMA",Tactical_Analysis,review:brag-AMA-OOS
"New Map Release Time",Improvement_Seeking,review:timing-OOS
"LOUD allows Virtyy to explore options",Tactical_Analysis,review:esports-news-OOS
"What's the next night market?",Improvement_Seeking,review:store-OOS
"Art of my forever main [Skye fanart by me!]",Tactical_Analysis,review:fanart-OOS
"New to valorant",Improvement_Seeking,review:LFG
"Patch 13.00 Agent Changes",Tactical_Analysis,review:news-OOS
"you think will character ragdolls option added to valorant?",Tactical_Analysis,review:suggestion
"Is this new? I dont think I've seen +20 rr before??",Improvement_Seeking,review:rank-mechanics
"is it possible to finish battlepass in 3 weeks?",Improvement_Seeking,review:battlepass-OOS
"Battle pass act4",Tactical_Analysis,review:skins-discussion-OOS
"Pass act 3 and 4",Improvement_Seeking,review:store-OOS
"Active 10 man servers?",Improvement_Seeking,review:LFG-OOS
"Had my first 1000 Tracker Score match yesterday",Tactical_Analysis,review:brag-showcase-OOS
"Is Waylay related to star wars?",Tactical_Analysis,review:trivia-OOS
"is the next act a hard rank reset?",Improvement_Seeking,review:rank-mechanics
"Busco conocer gente para jugar",Improvement_Seeking,review:LFG-non-English
"I made a site to browse all Valorant skins (chromas, levels, videos) - feedback welcome",Tactical_Analysis,review:self-promo-OOS
"Is Act 4 a soft or hard mmr reset?",Improvement_Seeking,review:rank-mechanics
"Making valorant content",Tactical_Analysis,review:content-creator-OOS
"Sheriff is the most seen gun in splash arts",Tactical_Analysis,review:trivia-OOS
"KAY/O only existing on Alpha Earth makes no sense. I'll fix that",Tactical_Analysis,review:lore-concept-OOS
"ORA BY ONETAP Skin no longer loops?",Improvement_Seeking,review:skin-bug-OOS
"How do I stop moving unnecessarily while shooting?",Improvement_Seeking,
"VALORANT Player Survey: Does Your Setup Impact Your Rank?",Tactical_Analysis,review:survey-promo-OOS
"Pick Em's buddy!",Tactical_Analysis,review:rewards-showcase-OOS
"so .. how did sage actually pull off the crystallization",Tactical_Analysis,review:lore
"Thoughts on the new blackspyre bundle?",Tactical_Analysis,review:skins-discussion-OOS
"How does the MMR and rank reset work for high elo?",Improvement_Seeking,review:rank-mechanics
"New map 'summit and sage reworks cinematic",Tactical_Analysis,review:news-discussion
"based on the new cinematic for the new map 'summit' how does everyone feel about the map layout and sage reworks",Tactical_Analysis,review:discussion
"New to the game - is this MM normal?",Improvement_Seeking,
"I made the little mascot from Summit !",Tactical_Analysis,review:fanart-OOS
"Did anyone get their pickem drops??",Improvement_Seeking,review:rewards-OOS
"Will Riot change Sage's outfit?",Tactical_Analysis,review:lore-speculation-OOS
"Looking for a specific video",Improvement_Seeking,review:misc-OOS
"What was the Sage crystallization plotline all for? All just for a map?",Salt_Vent,review:lore
"which was the last good bundle without vandal and sheriff?",Improvement_Seeking,review:store-OOS
"Why are my Elo Gains so bad?",Salt_Vent,
"How are agents currently unlocked in Valorant? I remember they used to be free to recruit, but now it won't let me.",Improvement_Seeking,review:mechanics-OOS
"Returning and looking for content",Improvement_Seeking,review:content-OOS
"Champs Shanghai Tickets?",Improvement_Seeking,review:tickets-OOS
"How do Indian Valorant players find tournaments, scrims, and teammates?",Improvement_Seeking,review:LFG-OOS
"Why do people recommend low advance settings?",Improvement_Seeking,
"Get ready for our arrival, worms",Tactical_Analysis,review:banter-clip-OOS
"Hypothetical: How would you feel about Agent variations?",Tactical_Analysis,review:discussion
"BREAKING: Anna Donlon confirms ranked changes are coming to VALORANT in 2026",Tactical_Analysis,review:news-OOS
"Lev Neon actually goated?",Tactical_Analysis,review:esports-opinion-OOS
"How riot expect you to rank up properly?",Salt_Vent,
"The new map, Sage's crystallization, and Omen.",Tactical_Analysis,review:lore-discussion-OOS
"1600 DPI Sens?",Improvement_Seeking,
"How did FNS surpassed everyone when it comes to watch parties he get more views then the main VCT Channel lol",Tactical_Analysis,review:esports-discussion-OOS
"Agent Fan Concept | Vera (Initiator)",Tactical_Analysis,review:fan-concept-OOS
"THROUGH THE CRACKS // Summit Official Map Reveal Trailer - VALORANT",Tactical_Analysis,review:news-OOS
"Where to find about valorant new BP leaks? and will they come out before the current bp ends?",Improvement_Seeking,review:battlepass-OOS
"After 4 Years I am Immortal solo queue",Tactical_Analysis,review:brag-achievement-OOS
"Being Positive ?",Improvement_Seeking,review:meta-OOS
"how to make a card and save any social media in valorant",Improvement_Seeking,review:misc-OOS
"Whats up with the Rank System",Salt_Vent,
"Am I crazy?",Improvement_Seeking,
"How to be an esports player?",Improvement_Seeking,review:career-OOS
"viper or omen or fade",Improvement_Seeking,
"Which site is easier to hit as attackers",Improvement_Seeking,
"Does this mean my mmr is high?",Improvement_Seeking,review:rank-mechanics
"Looking for good map related info for pearl and split - my lowest win rate maps.",Improvement_Seeking,
"What is this skin called I only have a finisher description",Improvement_Seeking,review:skin-id-OOS
"How do people look for players?",Improvement_Seeking,review:LFG-OOS
"Why raze is a must pick on lotus",Tactical_Analysis,
"How to be more consistent and confident?",Improvement_Seeking,
"Como trocar o # do Team da Premier?",Improvement_Seeking,review:how-to-non-English-OOS
"bro recognized me after 1 year then his friends exposed him #valorant #shorts #funny #fyp #reels",Tactical_Analysis,review:clip-meme-OOS
"Rank reset and Hidden MMR?",Improvement_Seeking,review:rank-mechanics
"Cs Go players are just Edgy",Tactical_Analysis,review:opinion-OOS
"new battle pas act 4 2026",Improvement_Seeking,review:battlepass-OOS
"1v5 pistol round, what's my rank?",Improvement_Seeking,review:guess-rank-clip-OOS
"Best Mouse Skates for VALORANT in 2026?",Improvement_Seeking,review:hardware-OOS
"Valorant Reset",Improvement_Seeking,review:rank-mechanics
"I thought this game was toxic until…",Tactical_Analysis,review:opinion-OOS
"Made up lore behind Skin bundles",Tactical_Analysis,review:fan-lore-OOS
"Can I get your opinions on how to do a better montage? and what do you think of this one?",Improvement_Seeking,review:content-editing-OOS
"How do you warm up before playing competitive matches?",Improvement_Seeking,
"Unwinnable situation on pistol (1v5)",Salt_Vent,review:clip-OOS
"How many hours did you grinded valorant in order to reach level 400+?",Improvement_Seeking,
